schoolLocation,schoolName,schoolType,schoolLevel,gradeRange
Markstay,École publique Camille-Perron,Public,Elementary,JK-8
Hanmer,École publique Foyer-Jeunesse,Public,Elementary,JK-6
Manitouwadge,École publique Franco-Manitou,Public,Elementary,JK-8
Azilda,École publique Franco-Nord,Public,Elementary,JK-6
Hanmer,École publique Hanmer,Public,Elementary,7-8
Sudbury,École publique Hélène-Gravel,Public,Elementary,JK-6
Sudbury,École publique Jean-Éthier-Blais,Public,Elementary,JK-6
Sudbury,École publique Jeanne-Sauvé,Public,Elementary,JK-6
Sudbury,École publique Macdonald-Cartier,Public,Elementary,7-8
Chelmsford,École publique Pavillon-de-l'Avenir,Public,Elementary,JK-8
Val Caron,École publique de la Découverte,Public,Elementary,JK-8
Noëlville,École publique de la Rivière-des-Français,Public,Elementary,JK-8
Elliot Lake,École publique des Villageois,Public,Elementary,JK-8
Wawa,École publique l'Escalade,Public,Elementary,JK-8
Sault-Ste-Marie,École publique Écho-des-Rapides,Public,Elementary,JK-8
Longlac,École secondaire Château-Jeunesse,Public,Secondary,9-12
Marathon,École secondaire Cité-Supérieure,Public,Secondary,9-12
Hanmer,École secondaire Hanmer,Public,Secondary,9-12
Sudbury,École secondaire Macdonald-Cartier,Public,Secondary,9-12
Elliot Lake,École secondaire Villa Française des Jeunes,Public,Secondary,9-12
Noëlville,École secondaire de la Rivière-des-Français,Public,Secondary,9-12
Dubreuilville,École secondaire l'Orée des Bois,Public,Secondary,9-12
North Bay,École publique Héritage,Public,Elementary,JK-6
Sturgeon Falls,École publique Jeunesse-Active,Public,Elementary,JK-8
Kapuskasing,École publique Le Coeur du Nord,Public,Elementary,JK-8
Timmins,École publique Lionel-Gauthier,Public,Elementary,JK-6
Timmins,École publique Pavillon Renaissance,Public,Elementary,7-8
Iroquois Falls,École publique Étoile du Nord,Public,Elementary,JK-8
North  Bay,École secondaire Cochrane,Public,Secondary,9-12
Hearst,École secondaire Passeport Jeunesse,Public,Secondary,9-12
Timmins,École secondaire Renaissance,Public,Secondary,9-12
Iroquois Falls,École secondaire l'Alliance,Public,Secondary,9-12
Kapuskasing,École secondaire publique Echo du Nord,Public,Secondary,9-12
Sturgeon Falls,École secondaire publique Nipissing Ouest,Public,Secondary,9-12
North Bay,École secondaire publique Odyssée,Public,Secondary,9-12
North Bay,École élémentaire publique Odyssée,Public,Elementary,7-8
Hearst,École élémentaire publique Passeport Jeunesse,Public,Elementary,JK-8
Parry Sound,École élémentaire publique aux Quatre-Vents,Public,Elementary,JK-8
New Liskeard,École élémentaire publique des Navigateurs,Public,Elementary,JK-8
North Bay,École Saint-Raymond,Catholic,Elementary,JK-6
North Bay,École secondaire catholique Algonquin,Catholic,Secondary,9-12
North Bay,École secondaire catholique Algonquin,Catholic,Elementary,7-8
Sturgeon Falls,École secondaire catholique Franco-Cité,Catholic,Secondary,9-12
Mattawa,École secondaire catholique Élisabeth-Bruyère,Catholic,Elementary,7-8
Mattawa,École secondaire catholique Élisabeth-Bruyère,Catholic,Secondary,9-12
River Valley,École séparée Christ-Roi,Catholic,Elementary,JK-8
Sturgeon Falls,École séparée La Résurrection,Catholic,Elementary,JK-8
Bonfield,École séparée Lorrain,Catholic,Elementary,JK-8
Thorne,École séparée Mariale,Catholic,Elementary,JK-8
Astorville,École séparée Saint-Thomas-D'Aquin,Catholic,Elementary,JK-8
North Bay,École séparée Saint-Vincent,Catholic,Elementary,JK-6
Mattawa,École séparée Sainte-Anne,Catholic,Elementary,JK-8
Verner,École séparée Ste-Marguerite-d'Youville,Catholic,Elementary,JK-8
Sturgeon Falls,École élémentaire catholique Saint-Joseph,Catholic,Elementary,JK-8
North Bay,École élémentaire catholique Saints-Anges,Catholic,Elementary,JK-6
Alexandria,École intermédiaire catholique - Pavillon Alexandria,Catholic,Elementary,7-8
Casselman,École intermédiaire catholique - Pavillon Casselman,Catholic,Elementary,7-8
Embrun,École intermédiaire catholique - Pavillon Embrun,Catholic,Elementary,7-8
Hawkesbury,École intermédiaire catholique - Pavillon Hawkesbury,Catholic,Elementary,7-8
Plantagenet,École intermédiaire catholique - Pavillon Plantagenet,Catholic,Elementary,7-8
Rockland,École intermédiaire catholique - Pavillon Rockland,Catholic,Elementary,7-8
Cornwall,École intermédiaire catholique La Citadelle,Catholic,Elementary,7-8
Embrun,École secondaire catholique Embrun,Catholic,Secondary,9-12
Rockland,École secondaire catholique L'Escale,Catholic,Secondary,9-12
Cornwall,École secondaire catholique La Citadelle,Catholic,Secondary,9-12
Alexandria,École secondaire catholique Le Relais,Catholic,Secondary,9-12
Casselman,École secondaire catholique de Casselman,Catholic,Secondary,9-12
Plantagenet,École secondaire catholique de Plantagenet,Catholic,Secondary,9-12
Hawkesbury,École secondaire catholique régionale de Hawkesbury,Catholic,Secondary,9-12
St-Eugène,École élémentaire catholique Curé-Labrosse,Catholic,Elementary,JK-6
St-Pascal-Baylon,École élémentaire catholique Du Rosaire,Catholic,Elementary,JK-6
Alexandria,École élémentaire catholique Elda-Rouleau,Catholic,Elementary,JK-6
Embrun,École élémentaire catholique Embrun - Pav. Saint-Jean/Pav. La Croisée,Catholic,Elementary,JK-6
Moose Creek,École élémentaire catholique La Source,Catholic,Elementary,JK-6
Cornwall,École élémentaire catholique Marie-Tanguay,Catholic,Elementary,JK-6
Cornwall,École élémentaire catholique Notre-Dame,Catholic,Elementary,JK-6
Crysler,École élémentaire catholique Notre-Dame-du-Rosaire,Catholic,Elementary,JK-6
Hawkesbury,École élémentaire catholique Paul VI,Catholic,Elementary,JK-6
Bourget,École élémentaire catholique Sacré-Coeur,Catholic,Elementary,JK-6
St-Albert,École élémentaire catholique Saint-Albert,Catholic,Elementary,JK-6
Vankleek Hill,École élémentaire catholique Saint-Grégoire,Catholic,Elementary,JK-6
St-Isidore,École élémentaire catholique Saint-Isidore,Catholic,Elementary,JK-6
L'Orignal,École élémentaire catholique Saint-Jean-Baptiste,Catholic,Elementary,JK-6
Russell,École élémentaire catholique Saint-Joseph (Russell),Catholic,Elementary,JK-6
Wendover,École élémentaire catholique Saint-Joseph (Wendover),Catholic,Elementary,JK-6
Hammond,École élémentaire catholique Saint-Mathieu,Catholic,Elementary,JK-6
Plantagenet,École élémentaire catholique Saint-Paul,Catholic,Elementary,JK-6
Limoges,École élémentaire catholique Saint-Viateur,Catholic,Elementary,JK-6
Alfred,École élémentaire catholique Saint-Victor,Catholic,Elementary,JK-6
Clarence Creek,École élémentaire catholique Sainte-Félicité,Catholic,Elementary,JK-6
Long Sault,École élémentaire catholique Sainte-Lucie,Catholic,Elementary,JK-6
Rockland,École élémentaire catholique Sainte-Trinité,Catholic,Elementary,JK-6
Casselman,École élémentaire catholique de Casselman - Pav. St-Paul/Ste-Euphémie,Catholic,Elementary,JK-6
North Lancaster,École élémentaire catholique de l'Ange-Gardien,Catholic,Elementary,JK-6
Nakina,Notre-Dame-des-Écoles,Catholic,Elementary,JK-8
Ignace,École Immaculée-Conception,Catholic,Elementary,JK-8
Longlac,École Notre-Dame-de-Fatima,Catholic,Elementary,JK-8
Geraldton,École St-Joseph,Catholic,Elementary,JK-8
Thunder Bay,École catholique Franco-Supérieur,Catholic,Elementary,JK-6
Terrace Bay,École catholique Franco-Terrace,Catholic,Elementary,JK-8
Marathon,École catholique Val-des-Bois,Catholic,Elementary,JK-8
Thunder Bay,École catholique de La Vérendrye,Catholic,Elementary,7-8
Dryden,École catholique de l'Enfant-Jésus,Catholic,Elementary,JK-8
Red Lake,École catholique des Étoiles-du-Nord,Catholic,Elementary,JK-8
Thunder Bay,École secondaire catholique de La Vérendrye,Catholic,Secondary,9-12
Kapuskasing,École catholique André-Cary,Catholic,Elementary,JK-8
Timmins,École catholique Anicet-Morin,Catholic,Elementary,4-8
Earlton,École catholique Assomption (Earlton),Catholic,Elementary,JK-8
Kirkland Lake,École catholique Assomption (Kirkland Lake),Catholic,Elementary,JK-6
Kapuskasing,École catholique Cité des Jeunes,Catholic,Elementary,7-8
Timmins,École catholique Don-Bosco,Catholic,Elementary,JK-6
Smooth Rock Falls,École catholique Georges-Vanier,Catholic,Elementary,JK-8
Kapuskasing,École catholique Jacques-Cartier (Kapuskasing),Catholic,Elementary,JK-6
Timmins,École catholique Jacques-Cartier (Timmins),Catholic,Elementary,JK-4
Timmins,École catholique Louis-Rhéaume,Catholic,Elementary,JK-3
Foleyet,École catholique Notre-Dame (Foleyet),Catholic,Elementary,JK-8
Gogama,École catholique Notre-Dame-du-Rosaire (Gogama),Catholic,Elementary,JK-8
Cochrane,École catholique Nouveau Regard - Pavillon St-Joseph,Catholic,Elementary,JK-8
Cochrane,École catholique Nouveau Regard-Pavillon Jeunesse Nord,Catholic,Secondary,9-12
Hearst,École catholique Pavillon Notre-Dame,Catholic,Elementary,JK-4
Timmins,École catholique Sacré-Coeur (Timmins),Catholic,Elementary,5-8
New Liskeard,École catholique Saint-Michel,Catholic,Elementary,JK-8
Haileybury,École catholique Sainte-Croix,Catholic,Elementary,JK-8
Ramore,École catholique Sainte-Thérèse,Catholic,Elementary,JK-8
Timmins,École catholique St-Dominique,Catholic,Elementary,JK-3
Mattice,École catholique St-François-Xavier,Catholic,Elementary,JK-8
Timmins,École catholique St-Gérard,Catholic,Elementary,JK-6
Porcupine,École catholique St-Jude,Catholic,Elementary,JK-6
Moonbeam,École catholique St-Jules,Catholic,Elementary,JK-8
Hearst,École catholique St-Louis (Hearst),Catholic,Elementary,5-8
Virginiatown,École catholique St-Louis (Virginiatown),Catholic,Elementary,JK-6
Hearst,École catholique Ste-Anne,Catholic,Elementary,JK-4
Iroquois Falls,École catholique Sts-Martyrs-Canadiens,Catholic,Elementary,JK-8
Kirkland Lake,École catholique l’Envolée du Nord,Catholic,Elementary,7-8
Kapuskasing,École secondaire catholique Cité des Jeunes,Catholic,Secondary,9-12
Smooth Rock Falls,École secondaire catholique Georges-Vanier,Catholic,Secondary,9-12
Hearst,École secondaire catholique Hearst,Catholic,Secondary,9-12
Iroquois Falls,École secondaire catholique L'Alliance,Catholic,Secondary,9-12
New Liskeard,École secondaire catholique Sainte-Marie,Catholic,Secondary,9-12
Timmins,École secondaire catholique Theriault,Catholic,Secondary,9-12
Kirkland Lake,École secondaire catholique l’Envolée du Nord,Catholic,Secondary,9-12
Brockville,École intermédiaire catholique Académie catholique Ange-Gabriel,Catholic,Elementary,7-8
Orléans,École intermédiaire catholique Béatrice-Desloges,Catholic,Elementary,7-8
Ottawa,École intermédiaire catholique Franco-Cité,Catholic,Elementary,7-8
Nepean,École intermédiaire catholique Franco-Ouest,Catholic,Elementary,7-8
Orleans,École intermédiaire catholique Garneau,Catholic,Elementary,7-8
Pembroke,École intermédiaire catholique Jeanne-Lajoie,Catholic,Elementary,7-8
Kingston,École intermédiaire catholique Marie-Rivier,Catholic,Elementary,7-8
Orléans,École intermédiaire catholique Mer Bleue,Catholic,Elementary,7-8
Ottawa,École intermédiaire catholique Paul-Desmarais,Catholic,Elementary,7-8
Ottawa,École intermédiaire catholique Pierre-Savard,Catholic,Elementary,7-8
Ottawa,École intermédiaire catholique Samuel-Genest,Catholic,Elementary,7-8
Brockville,École secondaire catholique Académie catholique Ange-Gabriel,Catholic,Secondary,9-12
Orléans,École secondaire catholique Béatrice-Desloges,Catholic,Secondary,9-12
Ottawa,École secondaire catholique Centre professionnel et technique Minto,Catholic,Secondary,9-12
Nepean,École secondaire catholique Collège catholique Franco-Ouest,Catholic,Secondary,9-12
Ottawa,École secondaire catholique Collège catholique Samuel-Genest,Catholic,Secondary,9-12
Ottawa,École secondaire catholique Franco-Cité,Catholic,Secondary,9-12
Orléans,École secondaire catholique Garneau,Catholic,Secondary,9-12
Pembroke,École secondaire catholique Jeanne-Lajoie,Catholic,Secondary,9-12
Kingston,École secondaire catholique Marie-Rivier,Catholic,Secondary,9-12
Orléans,École secondaire catholique Mer Bleue,Catholic,Secondary,9-12
Kemptville,École secondaire catholique Notre-Dame,Catholic,Secondary,9-12
Ottawa,École secondaire catholique Paul-Desmarais,Catholic,Secondary,9-12
Nepean,École secondaire catholique Pierre-Savard,Catholic,Secondary,9-12
Brockville,École élémentaire Académie catholique Ange-Gabriel,Catholic,Elementary,JK-6
Orléans,École élémentaire catholique Alain-Fortin,Catholic,Elementary,JK-6
Orléans,École élémentaire catholique Arc-en-ciel,Catholic,Elementary,JK-6
Ottawa,École élémentaire catholique Au Coeur d'Ottawa,Catholic,Elementary,JK-6
Ottawa,École élémentaire catholique Bernard-Grandmaître,Catholic,Elementary,JK-6
Cumberland,École élémentaire catholique De la Découverte,Catholic,Elementary,JK-6
Orléans,École élémentaire catholique Des  Voyageurs,Catholic,Elementary,JK-6
Gloucester,École élémentaire catholique Des Pins,Catholic,Elementary,JK-6
Orléans,École élémentaire catholique Des Pionniers,Catholic,Elementary,JK-6
Kanata,École élémentaire catholique Elisabeth-Bruyère,Catholic,Elementary,JK-6
Ottawa,École élémentaire catholique George-Étienne-Cartier,Catholic,Elementary,JK-6
Vanier,École élémentaire catholique Horizon-Jeunesse,Catholic,Elementary,JK-6
Carleton Place,École élémentaire catholique J.-L.-Couroux,Catholic,Elementary,JK-8
Ottawa,École élémentaire catholique Jean-Robert-Gauthier,Catholic,Elementary,JK-6
Pembroke,École élémentaire catholique Jeanne-Lajoie,Catholic,Elementary,JK-6
Trenton,École élémentaire catholique L'Envol,Catholic,Elementary,JK-8
Orléans,École élémentaire catholique L'Étoile-de-l'Est,Catholic,Elementary,JK-6
Gloucester,École élémentaire catholique La Vérendrye,Catholic,Elementary,JK-6
Nepean,École élémentaire catholique Laurier-Carrière,Catholic,Elementary,JK-6
Ottawa,École élémentaire catholique Marius-Barbeau,Catholic,Elementary,JK-8
Kingston,École élémentaire catholique Mgr-Rémi-Gaulin,Catholic,Elementary,JK-6
Ottawa,École élémentaire catholique Montfort,Catholic,Elementary,JK-6
Kemptville,École élémentaire catholique Notre-Dame,Catholic,Elementary,JK-8
Ottawa,École élémentaire catholique Notre-Dame-des-Champs,Catholic,Elementary,JK-6
Orleans,École élémentaire catholique Notre-Place,Catholic,Elementary,JK-6
Nepean,École élémentaire catholique Pierre-Elliott-Trudeau,Catholic,Elementary,JK-6
Orléans,École élémentaire catholique Reine-des-Bois,Catholic,Elementary,JK-6
Gloucester,École élémentaire catholique Riverside Sud II,Catholic,Elementary,JK-6
Kanata,École élémentaire catholique Roger-Saint-Denis,Catholic,Elementary,JK-6
Ottawa,École élémentaire catholique Saint-François-d'Assise,Catholic,Elementary,JK-6
Vars,École élémentaire catholique Saint-Guillaume,Catholic,Elementary,JK-8
Stittsville,École élémentaire catholique Saint-Jean-Paul II,Catholic,Elementary,JK-6
Orléans,École élémentaire catholique Saint-Joseph d'Orléans,Catholic,Elementary,JK-6
KANATA,École élémentaire catholique Saint-Rémi,Catholic,Elementary,JK-6
Ottawa,École élémentaire catholique Sainte-Anne,Catholic,Elementary,JK-8
Gloucester,École élémentaire catholique Sainte-Bernadette,Catholic,Elementary,JK-6
Ottawa,École élémentaire catholique Sainte-Geneviève,Catholic,Elementary,JK-6
Ottawa,École élémentaire catholique Sainte-Kateri,Catholic,Elementary,JK-6
Merrickville,École élémentaire catholique Sainte-Marguerite-Bourgeoys,Catholic,Elementary,JK-8
Gloucester,École élémentaire catholique Sainte-Marie,Catholic,Elementary,JK-6
Marionville,École élémentaire catholique Sainte-Thérèse-d'Avila,Catholic,Elementary,JK-8
Ottawa,École élémentaire catholique Terre-des-Jeunes,Catholic,Elementary,JK-6
Orléans,École élémentaire catholique d'enseignement personnalisé La Source,Catholic,Elementary,JK-6
Ottawa,École élémentaire catholique d'enseignement personnalisé Lamoureux,Catholic,Elementary,JK-8
Ottawa,École élémentaire catholique d'enseignement personnalisé Édouard-Bond,Catholic,Elementary,JK-6
Arnprior,École élémentaire catholique École élémentaire catholique Arnprior,Catholic,Elementary,JK-8
Sudbury,Carrefour Options +,Catholic,Secondary,9-12
Sudbury,Collège Notre-Dame,Catholic,Secondary,9-12
Chelmsford,École Alliance St-Joseph,Catholic,Elementary,JK-8
Sault Ste. Marie,École Notre-Dame-du-Sault,Catholic,Elementary,JK-8
Hornepayne,École Saint Nom de Jésus,Catholic,Elementary,JK-8
Wawa,École Saint-Joseph,Catholic,Elementary,JK-8
Chelmsford,École secondaire Catholique Champlain,Catholic,Secondary,9-12
Sault Ste Marie,École secondaire Notre-Dame-du-Sault,Catholic,Secondary,9-12
Espanola,École secondaire catholique Franco-Ouest,Catholic,Secondary,9-12
Blind River,École secondaire catholique Jeunesse-Nord,Catholic,Secondary,9-12
Espanola,École secondaire catholique La Renaissance,Catholic,Secondary,9-12
Wawa,École secondaire catholique Saint-Joseph,Catholic,Secondary,9-12
Chapleau,École secondaire catholique Trillium,Catholic,Secondary,9-12
Val Caron,École secondaire catholique l'Horizon,Catholic,Secondary,9-12
Sudbury,École secondaire du Sacré-Coeur,Catholic,Secondary,9-12
Sudbury,École séparée Félix-Ricard,Catholic,Elementary,JK-8
Elliot Lake,École séparée Georges-Vanier,Catholic,Elementary,JK-8
Hanmer,École séparée Notre-Dame,Catholic,Elementary,JK-8
Coniston,École séparée Notre-Dame-de-la-Merci,Catholic,Elementary,JK-8
Chapleau,École séparée Sacré-Coeur,Catholic,Elementary,JK-6
Noëlville,École séparée Saint-Antoine,Catholic,Elementary,JK-8
Garson,École séparée Saint-Augustin,Catholic,Elementary,JK-8
Saint-Charles,École séparée Saint-Charles-Borromée,Catholic,Elementary,JK-8
Sudbury,École séparée Saint-Denis,Catholic,Elementary,JK-8
Sudbury,École séparée Saint-Dominique,Catholic,Elementary,JK-6
